Drive,Path,Type,Size,Classification,Status,Git Remote,Notes
E,E:\Project\Master\LinkTreeHL,FOLDER,—,WORK,DUPLICATE,liemdo28/LinkTreeHL.git,Root copy - delete after restart
E,E:\Project\bakudanramen.com,PROJECT,347MB,WORK,SHADOW,liemdo28/bakudanramen.com.git,WP version OUTSIDE Master - ACTIVE commits
E,E:\Project\Bakudan,FOLDER,287MB,WORK,SHADOW,none,Old dashboard copies outside Master
E,E:\Project\Personal,FOLDER,—,MIXED,SHADOW,none,Mixed personal+work projects outside Master
E,E:\Project\Raw,FOLDER,—,WORK,SHADOW,none,RawWebsite copies outside Master
E,E:\Project\VC,FOLDER,—,WORK,SHADOW,none,CV project outside Master
E,E:\Project\PC-QA-Stability-Certification,FOLDER,—,WORK,SHADOW,none,QA certs outside Master
E,E:\Project\review-management-mcp,FOLDER,—,WORK,SHADOW,none,MCP server outside Master
E,E:\Project\Toasttab Quickbook,FOLDER,—,WORK,SHADOW,none,Integration copy outside Master
E,E:\Screenshot 2026-03-24 160416.png,FILE,—,PERSONAL,ORPHAN,none,Root screenshot - should move
E,E:\test.txt,FILE,<1KB,JUNK,DELETE,none,Test file
E,E:\test_node.txt,FILE,<1KB,JUNK,DELETE,none,Test file
E,E:\test_write.txt,FILE,<1KB,JUNK,DELETE,none,Test file
E,E:\Local Disk (C) - Shortcut.lnk,FILE,<1KB,JUNK,DELETE,none,Stale shortcut
E,E:\Data (old),FOLDER,—,UNKNOWN,REVIEW,none,Old data - needs review
E,E:\Installation App,FOLDER,—,SHARED,KEEP,none,Software installers
D,D:\QB\B1,DATA,419MB,WORK,ACTIVE,none,Bakudan Ramen + JHT QuickBooks
D,D:\QB\B2,DATA,108MB,WORK,ACTIVE,none,Bakudan BP LLC QuickBooks
D,D:\QB\B3,DATA,53MB,WORK,ACTIVE,none,Bakudan entity QuickBooks
D,D:\QB\Copper,DATA,102MB,WORK,ACTIVE,none,The Coppers LLC QuickBooks
D,D:\QB\IFT,DATA,66MB,WORK,ACTIVE,none,New Tea House QuickBooks
D,D:\QB\Raw,DATA,995MB,WORK,ACTIVE,none,RawStockton QuickBooks
D,D:\QB\B1\QuickBooksAutoDataRecovery\*.ADR.old,FILE,134MB,JUNK,DELETE,none,Old auto-recovery
D,D:\QB\Raw\QuickBooksAutoDataRecovery\*.ADR.old,FILE,320MB,JUNK,DELETE,none,Old auto-recovery
D,D:\Bakudan Download\Invoice,DATA,2.3GB,WORK,KEEP,none,Invoice archive ZIPs
D,D:\Game,FOLDER,46GB,PERSONAL,KEEP,none,Game installers - some duplicated
F,F:\Projects\agent-coding,PROJECT,401MB,WORK,STALE_MIRROR,liemdo28/agent-coding.git,10+ commits behind E
F,F:\Projects\agent-coding-api-keys,PROJECT,122MB,WORK,MIRROR,none,No git remote
F,F:\Projects\bakudanramen.com,PROJECT,1.3GB,WORK,MIRROR,liemdo28/bakudanramen.com.git,WP version
F,F:\Projects\dashboard.bakudanramen.com,PROJECT,997MB,WORK,MIRROR,liemdo28/dashboard.bakudanramen.com.git,PHP dashboard
F,F:\Projects\integration-toasttab-qb,PROJECT,218MB,WORK,ACTIVE_F_ONLY,liemdo28/integration-toasttab-qb.git,Different repo from E - F newer
F,F:\Projects\packinglist-price,PROJECT,1.3GB,WORK,MIRROR,liemdo28/packing-list.git,Same git as E packing-list
F,F:\Projects\rawsushibar,PROJECT,31MB,WORK,MIRROR,liemdo28/rawwebsite.git,Same git as E RawWebsite
F,F:\Projects\phuyen-2026,PROJECT,345MB,PERSONAL/WORK,ACTIVE,liemdo28/phuyen-2026.git,Also in E now
F,F:\Projects\authorize-net-backup,PROJECT,14MB,WORK,UNIQUE_F,none,Not in E
F,F:\Projects\bakudan-sync,FOLDER,857MB,ARCHIVE,REVIEW,none,Multiple website copies
F,F:\Projects\guidline-record,DOCS,217MB,WORK,UNIQUE_F,none,Dashboard docs
F,F:\Projects\shared-workspace,PROJECT,18MB,WORK,MIRROR,none,Also in E now
F,F:\Projects\Tester-QA,PROJECT,52MB,WORK,MIRROR,none,Also in E now
F,F:\Projects\Archive,FOLDER,628MB+,ARCHIVE,KEEP,none,Old snapshots
F,F:\Game,FOLDER,~200GB,PERSONAL,ACTIVE,none,Games installed
F,F:\.Trashes\501,FOLDER,~204GB,PERSONAL,DELETE,none,Mac trash - empty to reclaim 204GB
G,G:\My Drive\BST,DATA,730MB,WORK,ACTIVE,none,BST company data
G,G:\My Drive\Personal,FOLDER,2.4GB,PERSONAL,ACTIVE,none,Photos music docs
G,G:\My Drive\Hinh,FOLDER,187MB,PERSONAL,ACTIVE,none,Camera photos DSC
G,G:\My Drive\Code,FOLDER,31MB,WORK,ARCHIVE,none,Old code snapshots
G,G:\My Drive\Important,FOLDER,158KB,WORK,KEEP,none,Important docs
G,G:\My Drive\*Commission.gsheet,FILES,—,WORK,ACTIVE,none,Staff commission sheets
G,G:\My Drive\Airbnb*.xlsx,FILES,—,WORK,ACTIVE,none,Airbnb P&L
G,G:\My Drive\BAKUDAN_LOGO_F.ai,FILE,—,WORK,ACTIVE,none,Brand asset
G,G:\My Drive\TaskFlow-v1.0.0-release.apk,FILE,—,WORK,ACTIVE,none,App release
G,G:\My Drive\New folder,FOLDER,—,UNKNOWN,REVIEW,none,Unnamed - needs review
G,G:\My Drive\Untitled folder,FOLDER,—,UNKNOWN,REVIEW,none,Unnamed - needs review
